station,longitude,latitude
aceabsar,-109.6112,45.55735
aceashla,-106.14318,45.57326
aceaugus,-112.36,47.5853
acebaker,-104.29035,46.25013
acebarth,-107.23742,47.82417
acebellt,-104.36413,45.64857
acebeltn,-111.01774,47.42759
acebento,-111.47361,47.69075
acebigsa,-110.32165,48.24156
acebigti,-109.82669,45.74353
acebilli,-108.49062,45.62588
acebirne,-106.51672,45.33839
acebootl,-111.34278,48.31469
acebowma,-112.17275,47.30804
acebozem,-111.07218,45.66341
acebrady,-111.66432,48.10323
acebrede,-105.25889,48.55058
acebroad,-108.75544,46.12817
acebrock,-105.77454,47.31017
acebruse,-107.51555,47.52203
acebsase,-110.03595,48.03403
acebuffa,-112.65625,48.85363
acebusby,-106.93155,45.51856
acebynum,-112.49437,47.95719
acecarly,-104.19597,46.61662
acecarte,-110.99302,48.02231
acecedar,-104.63123,46.92014
acechest,-111.03759,48.44775
acechris,-109.52066,47.4245
acecircl,-105.66224,47.58819
acecleve,-109.13783,48.38678
acecoffe,-110.10835,47.39345
acecohan,-106.64438,47.12074
acecohas,-106.68092,46.91225
aceconra,-111.92398,48.30707
aceconte,-107.57919,48.01769
acecoone,-109.2597,45.46583
acecotto,-104.23367,47.20641
acecrane,-104.31858,47.56961
acecrowa,-107.43834,45.58605
acedillo,-112.50869,45.2694
acedoggu,-113.06213,48.37776
acedryla,-108.64159,48.0419
acedupuy,-112.54923,48.29556
aceeden,-111.33325,47.31605
aceedwar,-107.17668,47.17801
aceekala,-104.74436,45.95459
aceelmda,-104.74295,47.85774
aceethri,-112.14572,48.61112
acefairf,-111.93937,47.68457
acefallo,-105.06536,46.87778
acefigmt,-107.00509,47.00976
acefores,-109.08885,47.10576
aceforsy,-106.707,46.17969
acefortk,-104.77125,48.22337
acefoxcr,-110.74849,48.89941
acefrenc,-110.55053,47.74821
aceglasg,-106.74891,48.1244
aceharlo,-109.70085,46.41295
acehavre,-109.79939,48.48906
acehighw,-110.89959,47.68476
acehogel,-108.78024,48.81634
acehuntl,-108.23296,45.92637
aceingom,-107.22383,46.65685
aceinven,-110.70967,48.71885
aceinves,-110.71257,48.37537
aceismay,-104.63291,46.60269
acejudit,-109.76837,46.71887
acekeste,-106.66408,47.55841
acekreml,-110.21745,48.73889
acelaket,-109.6417,48.746
acelamed,-106.48794,45.65598
acelarsl,-106.24298,48.52674
acelauri,-112.13329,45.36212
acelavin,-108.95365,46.39892
acelodge,-107.51536,45.3073
aceloman,-110.49169,47.95366
acelorin,-107.87788,48.77156
acematad,-108.33595,47.92644
acemedic,-104.73097,48.51998
acemelvi,-109.84163,46.00145
acemidwa,-112.00768,48.06099
acemiles,-105.95432,46.40541
acemilli,-104.17207,45.93228
acemissi,-112.63338,48.52725
acemocca,-109.95352,47.05849
acemolts,-108.95924,45.84138
acemosbs,-107.92134,46.7823
acemosnw,-108.09801,47.06115
acemosse,-107.65106,46.93618
acemtleb,-111.03753,48.85226
acemusse,-108.02182,46.53997
acenashu,-106.32129,48.19608
aceoilmo,-111.60108,48.78158
aceophei,-106.38619,48.78782
aceotter,-105.9845,45.24692
acepines,-106.66741,47.85494
aceplevn,-104.64552,46.32431
acepopla,-105.21641,48.17849
acerapl2,-109.4495,45.86071
aceriche,-105.24948,47.54428
acericse,-104.75972,47.53981
acerocks,-106.21369,46.88529
acerothi,-109.3477,46.5351
aceround,-108.42432,46.57848
aceroyeg,-108.67782,47.37909
aceryega,-109.31114,46.19946
acesacos,-107.39124,48.29082
acesageh,-106.97969,47.45436
acesande,-107.07525,46.31625
acesands,-107.63839,47.1653
acesarpy,-107.0853,45.9633
acesavoy,-108.5907,48.417
acescobe,-105.49718,48.8602
acescots,-106.16704,47.92928
acesidne,-104.24789,47.78229
acesimps,-110.19414,48.92832
acesprin,-110.15675,45.74655
acestipe,-104.726,47.26112
acesunbu,-112.02219,48.91505
acesunpr,-107.6761,47.76891
acesunri,-111.71725,47.41178
acetampi,-106.85091,48.36463
acethurl,-106.3119,46.28028
acetosto,-111.5432,46.13646
aceturne,-108.39366,48.87426
acetwodo,-110.20549,46.44675
acevalen,-108.24377,47.35797
acevanno,-106.22678,47.21421
acevidan,-105.34951,47.92282
acevidaw,-105.78957,47.80094
acevoltn,-105.66213,48.54228
acewagne,-108.1489,48.26288
acewarho,-108.59132,47.14725
acewarri,-109.63922,47.98928
aceweldo,-106.11029,47.55363
acewetz,-113.11848,48.77951
acewibau,-104.20324,46.91242
acewinif,-109.2019,47.7319
acewinne,-108.50241,46.96536
acewolfp,-105.73792,48.17452
arskeogh,-105.95433,46.40542
arskeose,-105.8336,46.3452
arskeosw,-105.97652,46.30431
blm1arge,-112.88071,45.25117
blm2virg,-111.8795,45.2658
blm3mcca,-112.59534,45.55468
blm5kidd,-112.7167,44.81339
blmangel,-106.59233,46.6984
blmbattl,-103.77763,45.06839
blmbelfr,-108.90274,45.1795
blmbroad,-105.3584,45.43581
blmcapit,-104.13611,45.32499
blmcuste,-107.58529,46.15309
blmfortp,-106.14759,47.74478
blmglend,-104.74706,46.915
blmglnor,-106.90585,48.51185
blmglsou,-107.10633,47.98772
blmhardi,-103.72808,45.17365
blmhavre,-109.04517,48.87225
blmjorda,-106.48518,47.34698
blmmatad,-108.32336,47.89464
blmplevn,-104.42527,46.43883
blmpumpk,-105.6964,46.19681
blmround,-108.73796,46.5758
blmroyno,-108.94808,47.49431
blmrubyc,-109.1536,45.0687
blmstmbt,-108.1353,46.23571
blmterry,-105.26019,46.83662
blmwarre,-108.44221,45.04215
bozmtest,-111.0722,45.66343
corvalli,-114.08566,46.32741
crowagen,-107.43844,45.58603
csktbira,-114.25775,47.36645
ebarllob,-113.36924,46.95947
ekalakas,-104.33551,45.70873
ftbentcb,-110.48158,47.78982
havrenmt,-109.79599,48.49224
kalispel,-114.13808,48.18882
lololowr,-114.13401,46.74816
lomawood,-110.52598,47.89336
lubrecht,-113.43768,46.89452
mbmgtech,-112.56173,46.01427
mcolubre,-113.45102,46.89351
mdabench,-109.96756,47.09489
mdabigsa,-110.3325,48.10369
mdabilli,-108.6954,45.74045
mdacasca,-111.62277,47.27653
mdacharl,-114.1705,46.15655
mdachine,-109.15516,48.57544
mdachote,-112.08997,47.89303
mdadagma,-104.25362,48.66212
mdadillo,-112.58839,45.24519
mdaedgar,-108.85683,45.46369
mdafroid,-104.48045,48.34589
mdagildf,-110.276,48.70029
mdaglasw,-106.71626,48.22614
mdagldcr,-112.91709,46.57576
mdahardi,-107.60188,45.86845
mdahogel,-108.56441,48.77119
mdaledge,-111.82349,48.33784
mdamalta,-108.0035,48.35074
mdamanha,-111.32204,45.7871
mdamiles,-105.76103,46.22069
mdamoies,-114.25788,47.42265
mdaoilmo,-111.60108,48.7816
mdapower,-111.71184,47.65513
mdaronan,-114.10223,47.54437
mdascoby,-105.43711,48.88186
mdatost2,-111.53626,46.11475
mdatwinb,-112.36001,45.46649
moccasin,-109.95352,47.05847
moltwest,-109.0905,45.82318
namlower,-114.51393,47.69684
namupper,-114.5373,47.72361
nctbirne,-106.57926,45.45347
nctbusby,-106.94532,45.63907
pvbrisbi,-110.61137,45.52655
pvcarbel,-110.88142,45.27819
pvemigra,-110.6808,45.34593
raplejen,-109.24262,46.04459
reedpoin,-109.43189,45.79768
turekran,-110.12815,47.38831
unmpryor,-108.55679,45.41424
unmwyola,-107.38689,45.13973
whitshaw,-114.44256,48.47798
wsrabsaw,-109.61118,45.55735
wsrbigtm,-109.82669,45.74353
wsrboydw,-109.2597,45.46584
wsrmelvi,-109.84163,46.00145
wsrreeds,-109.55595,45.61251
